date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,13,16,16,16,22,5,82,0.0,1016,16,10,258,10,New_Hampshire
2022-09-01 01:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,13,16,16,16,21,6,83,0.0,1016,16,10,259,10,New_Hampshire
2022-09-01 02:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,12,15,15,15,19,7,83,0.0,1017,15,10,261,9,New_Hampshire
2022-09-01 03:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,12,15,15,15,18,9,83,0.0,1017,15,10,263,9,New_Hampshire
2022-09-01 04:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,12,15,15,15,16,9,84,0.0,1017,15,10,275,8,New_Hampshire
2022-09-01 05:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,12,15,15,15,15,10,84,0.0,1017,15,10,288,7,New_Hampshire
2022-09-01 06:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,12,15,14,15,13,11,85,0.0,1017,14,10,300,6,New_Hampshire
2022-09-01 07:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,13,16,16,16,11,17,83,0.0,1018,16,10,314,6,New_Hampshire
2022-09-01 08:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,13,17,17,17,9,23,80,0.0,1018,17,10,327,5,New_Hampshire
2022-09-01 09:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,14,18,18,18,8,29,78,0.0,1019,18,10,341,5,New_Hampshire
2022-09-01 10:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,15,20,20,20,7,25,74,0.0,1019,20,10,339,5,New_Hampshire
2022-09-01 11:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,16,22,23,22,6,21,71,0.0,1019,22,10,338,5,New_Hampshire
2022-09-01 12:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,17,25,25,23,5,16,67,0.0,1019,23,10,336,5,New_Hampshire
2022-09-01 13:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,17,26,26,24,6,19,65,0.0,1019,24,10,333,5,New_Hampshire
2022-09-01 14:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,18,27,27,25,7,22,64,0.0,1018,25,10,331,6,New_Hampshire
2022-09-01 15:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,18,27,27,26,8,25,62,0.0,1018,26,10,328,7,New_Hampshire
2022-09-01 16:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,18,27,27,26,8,24,63,0.0,1018,26,10,333,7,New_Hampshire
2022-09-01 17:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,18,27,27,26,9,22,64,0.0,1018,26,10,338,7,New_Hampshire
2022-09-01 18:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,19,27,27,25,9,21,66,0.0,1017,25,10,343,8,New_Hampshire
2022-09-01 19:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,18,24,24,23,12,15,72,0.0,1018,23,10,258,8,New_Hampshire
2022-09-01 20:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,17,21,22,21,14,9,78,0.0,1018,21,10,173,8,New_Hampshire
2022-09-01 21:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,16,19,19,19,17,3,84,0.0,1018,19,10,88,8,New_Hampshire
2022-09-01 22:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,16,19,19,19,20,3,82,0.0,1018,19,10,102,9,New_Hampshire
2022-09-01 23:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,15,19,19,19,23,4,81,0.0,1018,19,10,116,11,New_Hampshire
2022-09-02 00:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,18,18,18,26,4,80,0.0,1018,18,10,130,13,New_Hampshire
2022-09-02 01:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,18,18,18,26,6,82,0.0,1018,18,10,138,12,New_Hampshire
2022-09-02 02:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,18,18,18,25,8,83,0.0,1018,18,10,146,12,New_Hampshire
2022-09-02 03:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,17,17,17,24,10,84,0.0,1018,17,10,154,12,New_Hampshire
2022-09-02 04:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,17,17,17,24,11,84,0.0,1018,17,10,154,11,New_Hampshire
2022-09-02 05:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,17,17,17,24,11,85,0.0,1018,17,10,154,11,New_Hampshire
2022-09-02 06:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,17,17,17,23,12,86,0.0,1018,17,10,154,11,New_Hampshire
2022-09-02 07:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,18,18,18,22,13,83,0.0,1019,18,10,156,11,New_Hampshire
2022-09-02 08:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,16,19,19,19,20,13,81,0.0,1019,19,10,158,11,New_Hampshire
2022-09-02 09:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,16,20,20,20,18,14,79,0.0,1019,20,10,160,11,New_Hampshire
2022-09-02 10:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,18,24,24,23,17,14,73,0.0,1019,23,10,164,11,New_Hampshire
2022-09-02 11:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,19,27,27,26,15,15,68,0.0,1019,26,10,167,11,New_Hampshire
2022-09-02 12:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,21,31,31,29,13,15,62,0.0,1019,29,10,170,11,New_Hampshire
2022-09-02 13:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,21,31,31,29,13,13,60,0.0,1019,29,10,173,11,New_Hampshire
2022-09-02 14:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,20,32,32,29,12,12,59,0.0,1018,29,10,175,11,New_Hampshire
2022-09-02 15:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,20,32,32,30,12,10,57,0.0,1018,30,10,178,10,New_Hampshire
2022-09-02 16:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,21,32,32,29,11,10,61,0.0,1018,29,10,177,9,New_Hampshire
2022-09-02 17:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,21,31,31,28,9,11,65,0.0,1018,28,10,177,8,New_Hampshire
2022-09-02 18:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,22,30,30,28,8,11,70,0.0,1018,28,10,177,7,New_Hampshire
2022-09-02 19:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,20,28,28,26,12,10,73,0.0,1018,26,10,164,8,New_Hampshire
2022-09-02 20:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,19,26,26,24,16,9,77,0.0,1018,24,10,151,9,New_Hampshire
2022-09-02 21:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,18,22,24,22,21,8,80,0.0,1019,22,10,139,10,New_Hampshire
2022-09-02 22:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,18,22,24,22,24,10,79,0.0,1018,22,10,152,12,New_Hampshire
2022-09-02 23:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,17,21,24,21,28,12,78,0.0,1018,21,10,165,13,New_Hampshire
2022-09-03 00:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,17,21,24,21,32,14,77,0.0,1018,21,10,178,15,New_Hampshire
2022-09-03 01:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,17,21,23,21,31,15,79,0.0,1018,21,10,181,15,New_Hampshire
2022-09-03 02:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,17,20,21,20,31,15,81,0.0,1018,20,10,185,15,New_Hampshire
2022-09-03 03:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,16,19,19,19,31,16,83,0.0,1019,19,10,189,15,New_Hampshire
2022-09-03 04:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,17,19,19,19,30,18,87,0.0,1019,19,10,189,14,New_Hampshire
2022-09-03 05:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,17,19,19,19,29,20,90,0.0,1019,19,10,188,14,New_Hampshire
2022-09-03 06:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,18,19,19,19,28,22,94,0.0,1019,19,10,188,13,New_Hampshire
2022-09-03 07:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,18,20,21,20,27,21,92,0.0,1019,20,10,194,14,New_Hampshire
2022-09-03 08:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,19,20,22,20,25,19,90,0.0,1020,20,10,199,15,New_Hampshire
2022-09-03 09:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,19,21,24,21,23,18,88,0.0,1020,21,10,205,15,New_Hampshire
2022-09-03 10:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,20,27,27,24,21,14,81,0.0,1020,24,10,214,15,New_Hampshire
2022-09-03 11:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,30,30,27,19,9,74,0.0,1020,27,10,223,14,New_Hampshire
2022-09-03 12:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,22,33,33,29,16,5,66,0.0,1020,29,10,233,14,New_Hampshire
2022-09-03 13:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,22,33,33,30,15,7,63,0.0,1020,30,10,224,13,New_Hampshire
2022-09-03 14:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,33,33,30,14,9,59,0.0,1020,30,10,215,12,New_Hampshire
2022-09-03 15:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,34,34,31,13,11,55,0.0,1020,31,10,206,12,New_Hampshire
2022-09-03 16:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,32,32,30,13,20,59,0.0,1020,30,10,201,11,New_Hampshire
2022-09-03 17:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,31,31,29,13,29,63,0.0,1019,29,10,196,10,New_Hampshire
2022-09-03 18:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,30,30,28,13,38,67,0.0,1019,28,10,191,10,New_Hampshire
2022-09-03 19:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,20,27,27,25,17,27,75,0.0,1019,25,10,186,11,New_Hampshire
2022-09-03 20:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,19,23,23,23,22,16,82,0.0,1020,23,10,180,12,New_Hampshire
2022-09-03 21:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,18,20,20,20,26,6,90,0.0,1020,20,10,174,13,New_Hampshire
2022-09-03 22:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,18,20,20,20,25,17,92,0.0,1020,20,7,175,12,New_Hampshire
2022-09-03 23:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,18,19,19,19,24,28,94,0.0,1020,19,5,175,11,New_Hampshire
2022-09-04 00:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,19,19,19,23,40,96,0.0,1021,19,2,176,11,New_Hampshire
2022-09-04 01:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,18,18,18,22,40,96,0.0,1021,18,2,180,10,New_Hampshire
2022-09-04 02:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,18,18,18,21,41,96,0.0,1021,18,2,184,10,New_Hampshire
2022-09-04 03:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,18,18,18,20,42,96,0.0,1021,18,2,188,9,New_Hampshire
2022-09-04 04:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,18,18,18,16,37,95,0.0,1020,18,5,181,8,New_Hampshire
2022-09-04 05:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,16,17,17,17,13,33,94,0.0,1020,17,7,174,6,New_Hampshire
2022-09-04 06:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,16,17,17,17,9,28,94,0.0,1020,17,10,167,4,New_Hampshire
2022-09-04 07:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,18,18,18,8,22,91,0.0,1020,18,10,135,4,New_Hampshire
2022-09-04 08:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,19,19,19,8,17,88,0.0,1020,19,10,102,5,New_Hampshire
2022-09-04 09:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,20,20,20,7,11,85,0.0,1020,20,10,70,5,New_Hampshire
2022-09-04 10:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,23,23,22,8,16,78,0.0,1020,22,10,85,6,New_Hampshire
2022-09-04 11:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,25,25,24,9,21,71,0.0,1020,24,10,100,7,New_Hampshire
2022-09-04 12:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,28,28,26,10,26,64,0.0,1020,26,10,116,9,New_Hampshire
2022-09-04 13:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,28,28,27,9,40,63,0.0,1019,27,10,107,8,New_Hampshire
2022-09-04 14:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,28,28,27,8,55,62,0.2,1018,27,10,98,7,New_Hampshire
2022-09-04 15:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,29,29,27,7,69,62,0.3,1018,27,10,89,6,New_Hampshire
2022-09-04 16:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,20,28,28,27,6,73,64,0.2,1017,27,10,97,4,New_Hampshire
2022-09-04 17:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,20,28,28,26,4,77,66,0.3,1017,26,10,104,3,New_Hampshire
2022-09-04 18:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,20,28,28,26,3,81,69,0.4,1016,26,10,112,1,New_Hampshire
2022-09-04 19:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,27,27,24,5,83,73,0.2,1016,24,10,85,2,New_Hampshire
2022-09-04 20:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,25,25,23,7,84,78,0.0,1017,23,10,59,3,New_Hampshire
2022-09-04 21:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,21,24,21,9,86,82,0.0,1017,21,10,32,4,New_Hampshire
2022-09-04 22:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,20,22,20,12,84,85,0.0,1017,20,10,50,6,New_Hampshire
2022-09-04 23:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,19,20,19,15,81,88,0.0,1017,19,10,68,7,New_Hampshire
2022-09-05 00:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,18,18,18,19,79,92,0.0,1017,18,10,86,9,New_Hampshire
2022-09-05 01:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,18,18,18,19,59,93,0.0,1017,18,7,84,9,New_Hampshire
2022-09-05 02:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,18,18,18,19,40,94,0.0,1017,18,5,83,9,New_Hampshire
2022-09-05 03:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,18,18,18,20,20,95,0.0,1017,18,2,81,9,New_Hampshire
2022-09-05 04:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,17,17,17,20,17,95,0.0,1017,17,2,81,9,New_Hampshire
2022-09-05 05:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,16,17,17,17,20,14,95,0.0,1017,17,2,81,10,New_Hampshire
2022-09-05 06:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,16,17,17,17,21,11,96,0.0,1017,17,2,81,10,New_Hampshire
2022-09-05 07:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,18,18,18,19,14,94,0.0,1018,18,5,83,10,New_Hampshire
2022-09-05 08:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,18,18,18,17,17,92,0.0,1018,18,7,85,10,New_Hampshire
2022-09-05 09:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,17,19,19,19,15,20,90,0.0,1018,19,10,87,10,New_Hampshire
2022-09-05 10:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,21,21,21,15,19,83,0.0,1018,21,10,86,11,New_Hampshire
2022-09-05 11:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,24,24,22,14,17,76,0.0,1019,22,10,86,11,New_Hampshire
2022-09-05 12:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,26,26,24,13,15,69,0.0,1019,24,10,86,12,New_Hampshire
2022-09-05 13:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,26,26,24,12,22,68,0.0,1018,24,10,85,10,New_Hampshire
2022-09-05 14:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,26,26,25,11,28,66,0.0,1018,25,10,83,9,New_Hampshire
2022-09-05 15:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,27,27,25,9,35,65,0.0,1018,25,10,82,8,New_Hampshire
2022-09-05 16:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,19,27,27,25,9,27,66,0.0,1018,25,10,88,8,New_Hampshire
2022-09-05 17:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,19,27,27,26,9,19,68,0.0,1017,26,10,95,8,New_Hampshire
2022-09-05 18:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,20,28,28,26,9,11,70,0.0,1017,26,10,101,8,New_Hampshire
2022-09-05 19:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,19,25,25,24,13,11,76,0.0,1017,24,10,96,9,New_Hampshire
2022-09-05 20:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,19,23,23,22,17,10,81,0.0,1018,22,10,90,9,New_Hampshire
2022-09-05 21:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,20,20,20,21,10,87,0.0,1018,20,10,84,10,New_Hampshire
2022-09-05 22:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,20,20,20,16,23,90,0.0,1018,20,7,118,7,New_Hampshire
2022-09-05 23:00:00,26,17,0.0,11.6,5,62,05:13 PM,01:02 AM,07:07 AM,08:01 PM,18,19,19,19,11,35,93,0.0,1018,19,5,151,5,New_Hampshire
