date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,8,8,9,8,18,16,91,0.0,1023,9,10,96,9,New_Mexico
2022-09-01 01:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,8,8,9,8,17,19,90,0.0,1023,9,10,93,8,New_Mexico
2022-09-01 02:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,8,9,9,9,15,22,89,0.0,1023,9,10,91,7,New_Mexico
2022-09-01 03:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,8,9,10,9,14,25,88,0.0,1023,10,10,89,7,New_Mexico
2022-09-01 04:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,7,8,9,8,14,21,89,0.0,1023,9,10,91,7,New_Mexico
2022-09-01 05:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,7,8,9,8,13,18,90,0.0,1023,9,10,93,6,New_Mexico
2022-09-01 06:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,7,8,9,8,13,15,91,0.0,1024,9,10,95,6,New_Mexico
2022-09-01 07:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,8,10,11,10,9,14,84,0.0,1024,11,10,88,5,New_Mexico
2022-09-01 08:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,9,13,13,13,6,12,76,0.0,1024,13,10,81,3,New_Mexico
2022-09-01 09:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,15,15,15,3,11,69,0.0,1024,15,10,74,2,New_Mexico
2022-09-01 10:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,17,17,17,4,12,63,0.0,1023,17,10,150,4,New_Mexico
2022-09-01 11:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,19,19,19,6,13,58,0.0,1022,19,10,226,5,New_Mexico
2022-09-01 12:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,20,20,20,8,14,52,0.0,1021,20,10,302,7,New_Mexico
2022-09-01 13:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,21,22,21,7,19,50,0.0,1020,21,10,282,6,New_Mexico
2022-09-01 14:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,21,23,21,7,24,48,0.0,1019,21,10,262,6,New_Mexico
