date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,25,25,24,13,4,39,0.0,1011,24,10,322,9,New_York
2022-09-01 01:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,25,25,23,13,4,40,0.0,1011,23,10,303,9,New_York
2022-09-01 02:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,24,24,23,14,5,41,0.0,1011,23,10,285,9,New_York
2022-09-01 03:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,24,24,23,14,5,42,0.0,1011,23,10,266,9,New_York
2022-09-01 04:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,24,24,22,16,8,43,0.0,1011,22,10,267,10,New_York
2022-09-01 05:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,22,24,22,18,10,44,0.0,1011,22,10,268,12,New_York
2022-09-01 06:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,22,24,22,20,13,46,0.0,1012,22,10,268,13,New_York
2022-09-01 07:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,10,24,24,22,20,10,45,0.0,1012,22,10,283,15,New_York
2022-09-01 08:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,10,24,24,22,20,7,44,0.0,1013,22,10,299,16,New_York
2022-09-01 09:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,10,25,25,23,21,4,44,0.0,1014,23,10,314,18,New_York
2022-09-01 10:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,26,26,25,22,3,38,0.0,1014,25,10,312,19,New_York
2022-09-01 11:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,27,27,27,24,1,32,0.0,1014,27,10,310,21,New_York
2022-09-01 12:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,8,28,28,29,25,0,26,0.0,1014,29,10,308,22,New_York
2022-09-01 13:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,8,28,28,30,24,1,26,0.0,1014,30,10,307,21,New_York
2022-09-01 14:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,29,29,31,23,3,26,0.0,1014,31,10,305,20,New_York
2022-09-01 15:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,30,30,31,22,4,26,0.0,1014,31,10,304,19,New_York
2022-09-01 16:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,9,29,29,30,24,3,26,0.0,1014,30,10,311,21,New_York
2022-09-01 17:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,8,28,28,30,25,1,26,0.0,1014,30,10,319,22,New_York
2022-09-01 18:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,8,27,27,29,26,0,26,0.0,1015,29,10,326,23,New_York
2022-09-01 19:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,7,26,26,27,25,0,28,0.0,1016,27,10,331,22,New_York
2022-09-01 20:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,6,25,25,25,25,0,29,0.0,1017,25,10,336,21,New_York
2022-09-01 21:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,5,24,24,23,24,0,31,0.0,1018,23,10,341,20,New_York
2022-09-01 22:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,5,24,24,23,21,0,32,0.0,1018,23,10,229,17,New_York
2022-09-01 23:00:00,31,22,0.0,11.6,7,35,11:49 AM,10:10 PM,06:23 AM,07:28 PM,5,24,24,22,19,0,33,0.0,1019,22,10,117,14,New_York
2022-09-02 00:00:00,29,18,0.0,11.6,6,42,01:01 PM,10:44 PM,06:24 AM,07:27 PM,5,22,24,22,16,0,34,0.0,1019,22,10,5,12,New_York
2022-09-02 01:00:00,29,18,0.0,11.6,6,42,01:01 PM,10:44 PM,06:24 AM,07:27 PM,5,21,22,21,16,0,35,0.0,1019,21,10,11,11,New_York
2022-09-02 02:00:00,29,18,0.0,11.6,6,42,01:01 PM,10:44 PM,06:24 AM,07:27 PM,5,20,21,20,16,0,36,0.0,1020,20,10,17,11,New_York
2022-09-02 03:00:00,29,18,0.0,11.6,6,42,01:01 PM,10:44 PM,06:24 AM,07:27 PM,5,20,20,20,15,0,37,0.0,1020,20,10,23,11,New_York
2022-09-02 04:00:00,29,18,0.0,11.6,6,42,01:01 PM,10:44 PM,06:24 AM,07:27 PM,5,19,19,19,15,0,39,0.0,1021,19,10,21,11,New_York
2022-09-02 05:00:00,29,18,0.0,11.6,6,42,01:01 PM,10:44 PM,06:24 AM,07:27 PM,5,19,19,19,14,0,41,0.0,1021,19,10,20,10,New_York
2022-09-02 06:00:00,29,18,0.0,11.6,6,42,01:01 PM,10:44 PM,06:24 AM,07:27 PM,6,18,18,18,13,0,44,0.0,1022,18,10,19,10,New_York
