date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,14,17,17,17,10,4,83,0.0,1016,17,10,53,5,North_Dakota
2022-09-01 01:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,14,16,16,16,11,5,84,0.0,1016,16,10,60,5,North_Dakota
2022-09-01 02:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,13,16,16,16,12,6,84,0.0,1016,16,10,66,6,North_Dakota
2022-09-01 03:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,13,15,15,15,13,6,85,0.0,1016,15,10,72,6,North_Dakota
2022-09-01 04:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,12,15,15,15,12,6,85,0.0,1016,15,10,93,6,North_Dakota
2022-09-01 05:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,12,14,14,14,11,6,85,0.0,1016,14,10,113,5,North_Dakota
2022-09-01 06:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,11,14,14,14,10,6,85,0.0,1017,14,10,134,5,North_Dakota
2022-09-01 07:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,12,16,16,16,10,6,79,0.0,1017,16,10,129,6,North_Dakota
2022-09-01 08:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,13,18,18,18,10,6,73,0.0,1017,18,10,125,7,North_Dakota
2022-09-01 09:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,13,20,20,20,10,6,67,0.0,1017,20,10,121,8,North_Dakota
2022-09-01 10:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,15,23,23,23,12,6,63,0.0,1016,23,10,138,10,North_Dakota
2022-09-01 11:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,17,27,27,26,14,6,59,0.0,1016,26,10,154,12,North_Dakota
2022-09-01 12:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,19,30,30,29,16,7,55,0.0,1016,29,10,171,14,North_Dakota
2022-09-01 13:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,19,31,31,29,17,6,53,0.0,1015,29,10,172,14,North_Dakota
