date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,12,20,20,20,11,7,59,0.0,1016,20,10,186,5,Ohio
2022-09-01 01:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,19,19,19,9,6,60,0.0,1016,19,10,178,5,Ohio
2022-09-01 02:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,19,19,19,8,6,61,0.0,1016,19,10,169,4,Ohio
2022-09-01 03:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,18,18,18,6,5,63,0.0,1016,18,10,160,3,Ohio
2022-09-01 04:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,18,18,18,10,6,63,0.0,1016,18,10,152,5,Ohio
2022-09-01 05:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,18,18,18,14,6,64,0.0,1016,18,10,143,7,Ohio
2022-09-01 06:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,18,18,18,18,6,64,0.0,1016,18,10,135,9,Ohio
2022-09-01 07:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,12,19,20,19,16,7,62,0.0,1016,19,10,149,9,Ohio
2022-09-01 08:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,12,20,22,20,14,9,60,0.0,1017,20,10,162,9,Ohio
2022-09-01 09:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,13,21,24,21,12,10,58,0.0,1017,21,10,175,9,Ohio
2022-09-01 10:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,14,27,27,25,12,9,53,0.0,1017,25,10,177,9,Ohio
2022-09-01 11:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,15,29,29,28,12,9,47,0.0,1016,28,10,179,10,Ohio
2022-09-01 12:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,16,31,31,31,13,8,42,0.0,1016,31,10,180,11,Ohio
2022-09-01 13:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,16,32,32,32,14,8,40,0.0,1015,32,10,195,12,Ohio
2022-09-01 14:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,17,33,33,33,15,9,39,0.0,1015,33,10,209,13,Ohio
2022-09-01 15:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,17,35,35,33,16,9,37,0.0,1014,33,10,224,14,Ohio
2022-09-01 16:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,17,33,33,32,21,13,41,0.0,1014,32,10,236,15,Ohio
2022-09-01 17:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,17,31,31,30,25,17,45,0.0,1014,30,10,248,17,Ohio
2022-09-01 18:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,17,29,29,28,29,21,50,0.0,1014,28,10,260,18,Ohio
