date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,8,26,26,27,17,22,30,0.0,1014,27,10,101,8,Oklahoma
2022-09-01 01:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,10,26,26,26,17,16,36,0.0,1014,26,10,123,8,Oklahoma
2022-09-01 02:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,12,26,26,26,18,11,42,0.0,1013,26,10,146,9,Oklahoma
2022-09-01 03:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,14,26,26,25,19,5,48,0.0,1013,25,10,168,9,Oklahoma
2022-09-01 04:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,14,26,26,25,20,10,48,0.0,1013,25,10,201,9,Oklahoma
2022-09-01 05:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,13,26,26,25,21,14,48,0.0,1013,25,10,234,10,Oklahoma
2022-09-01 06:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,13,26,26,25,22,19,47,0.0,1013,25,10,267,10,Oklahoma
2022-09-01 07:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,14,27,27,26,18,20,46,0.0,1013,26,10,262,10,Oklahoma
2022-09-01 08:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,15,28,28,28,15,21,46,0.0,1014,28,10,257,9,Oklahoma
2022-09-01 09:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,16,29,29,29,11,22,45,0.0,1014,29,10,252,8,Oklahoma
2022-09-01 10:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,16,32,32,31,13,21,41,0.0,1014,31,10,244,10,Oklahoma
2022-09-01 11:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,17,35,35,34,15,21,38,0.0,1014,34,10,237,12,Oklahoma
2022-09-01 12:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,18,38,38,36,17,20,34,0.0,1014,36,10,230,14,Oklahoma
2022-09-01 13:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,17,38,38,37,16,21,30,0.0,1012,37,10,231,14,Oklahoma
2022-09-01 14:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,15,39,39,38,15,22,27,0.0,1011,38,10,232,13,Oklahoma
2022-09-01 15:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,14,39,39,39,14,23,23,0.0,1010,39,10,233,12,Oklahoma
2022-09-01 16:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,14,37,37,37,17,25,26,0.0,1010,37,10,205,13,Oklahoma
