date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,14,14,14,18,11,72,0.0,1014,14,10,239,9,Pennsylvania
2022-09-01 01:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,15,15,15,20,12,69,0.0,1014,15,10,250,10,Pennsylvania
2022-09-01 02:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,15,16,15,22,12,67,0.0,1014,16,10,262,11,Pennsylvania
2022-09-01 03:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,16,16,16,24,13,65,0.0,1014,16,10,273,12,Pennsylvania
2022-09-01 04:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,15,15,15,20,9,73,0.0,1014,15,10,275,10,Pennsylvania
2022-09-01 05:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,13,13,13,15,4,82,0.0,1014,13,10,278,8,Pennsylvania
2022-09-01 06:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,11,12,12,12,11,0,91,0.0,1015,12,10,280,5,Pennsylvania
2022-09-01 07:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,13,14,13,12,0,83,0.0,1016,14,10,290,7,Pennsylvania
2022-09-01 08:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,15,15,15,13,0,74,0.0,1016,15,10,300,9,Pennsylvania
2022-09-01 09:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,16,16,16,14,0,66,0.0,1017,16,10,310,11,Pennsylvania
2022-09-01 10:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,19,19,19,16,0,57,0.0,1017,19,10,312,12,Pennsylvania
2022-09-01 11:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,22,22,22,17,0,47,0.0,1017,22,10,314,14,Pennsylvania
2022-09-01 12:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,25,25,25,18,0,38,0.0,1017,25,10,316,16,Pennsylvania
2022-09-01 13:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,8,25,25,25,18,1,35,0.0,1017,25,10,315,15,Pennsylvania
2022-09-01 14:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,7,25,25,26,17,3,31,0.0,1017,26,10,314,15,Pennsylvania
2022-09-01 15:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,7,26,26,26,17,4,28,0.0,1016,26,10,314,15,Pennsylvania
2022-09-01 16:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,8,25,25,26,15,5,32,0.0,1017,26,10,314,13,Pennsylvania
2022-09-01 17:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,25,25,26,13,5,36,0.0,1017,26,10,314,12,Pennsylvania
2022-09-01 18:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,25,25,25,12,6,40,0.0,1017,25,10,314,10,Pennsylvania
2022-09-01 19:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,22,22,22,11,5,47,0.0,1018,22,10,320,8,Pennsylvania
2022-09-01 20:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,19,18,19,10,4,55,0.0,1018,18,10,326,6,Pennsylvania
2022-09-01 21:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,8,15,15,15,9,4,62,0.0,1019,15,10,331,4,Pennsylvania
2022-09-01 22:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,7,14,14,14,9,3,63,0.0,1020,14,10,336,4,Pennsylvania
2022-09-01 23:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,6,14,13,14,9,3,63,0.0,1020,13,10,340,4,Pennsylvania
2022-09-02 00:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,13,13,13,8,3,64,0.0,1020,13,10,345,4,Pennsylvania
2022-09-02 01:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,12,12,12,10,3,66,0.0,1021,12,10,243,5,Pennsylvania
2022-09-02 02:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,12,12,12,11,3,69,0.0,1021,12,10,141,5,Pennsylvania
2022-09-02 03:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,11,11,11,12,3,72,0.0,1021,11,10,40,6,Pennsylvania
2022-09-02 04:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,11,11,11,10,3,74,0.0,1022,11,10,51,5,Pennsylvania
2022-09-02 05:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,10,10,10,8,3,76,0.0,1022,10,10,61,4,Pennsylvania
2022-09-02 06:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,10,10,10,6,4,78,0.0,1023,10,10,72,3,Pennsylvania
2022-09-02 07:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,7,12,12,12,5,4,71,0.0,1023,12,10,86,3,Pennsylvania
2022-09-02 08:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,8,15,15,15,5,4,64,0.0,1023,15,10,100,3,Pennsylvania
2022-09-02 09:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,9,17,17,17,4,4,57,0.0,1023,17,10,115,4,Pennsylvania
2022-09-02 10:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,9,20,20,20,6,4,50,0.0,1023,20,10,129,6,Pennsylvania
2022-09-02 11:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,9,23,23,23,9,4,44,0.0,1023,23,10,144,8,Pennsylvania
2022-09-02 12:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,10,25,25,25,11,4,38,0.0,1022,25,10,159,10,Pennsylvania
2022-09-02 13:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,11,26,26,26,12,9,37,0.0,1022,26,10,162,10,Pennsylvania
