date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,13,20,20,20,20,21,66,0.0,1009,20,10,298,10,Rhode_Island
2022-09-01 01:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,13,19,19,19,20,14,67,0.0,1009,19,10,297,10,Rhode_Island
2022-09-01 02:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,12,18,18,18,20,8,68,0.0,1009,18,10,296,10,Rhode_Island
2022-09-01 03:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,17,17,17,21,1,70,0.0,1009,17,10,296,10,Rhode_Island
2022-09-01 04:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,17,17,17,19,4,68,0.0,1010,17,10,288,9,Rhode_Island
2022-09-01 05:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,17,17,17,18,6,67,0.0,1010,17,10,280,9,Rhode_Island
2022-09-01 06:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,10,17,17,17,17,8,65,0.0,1010,17,10,272,8,Rhode_Island
2022-09-01 07:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,19,20,19,19,11,59,0.0,1010,19,10,270,11,Rhode_Island
2022-09-01 08:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,21,22,21,20,13,54,0.0,1011,21,10,268,14,Rhode_Island
2022-09-01 09:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,25,25,23,22,15,48,0.0,1011,23,10,266,17,Rhode_Island
2022-09-01 10:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,12,26,26,25,22,11,44,0.0,1011,25,10,270,18,Rhode_Island
2022-09-01 11:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,12,27,27,27,22,7,40,0.0,1011,27,10,274,19,Rhode_Island
2022-09-01 12:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,13,29,29,29,23,3,37,0.0,1011,29,10,278,20,Rhode_Island
2022-09-01 13:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,12,29,29,29,22,4,34,0.0,1011,29,10,283,20,Rhode_Island
2022-09-01 14:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,28,28,29,22,5,32,0.0,1011,29,10,287,19,Rhode_Island
2022-09-01 15:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,10,28,28,30,22,7,30,0.0,1011,30,10,291,19,Rhode_Island
2022-09-01 16:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,10,28,28,29,21,6,33,0.0,1012,29,10,295,18,Rhode_Island
2022-09-01 17:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,27,27,28,21,5,35,0.0,1012,28,10,298,18,Rhode_Island
2022-09-01 18:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,26,26,27,20,5,37,0.0,1013,27,10,302,17,Rhode_Island
2022-09-01 19:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,10,24,24,24,21,3,41,0.0,1014,24,10,314,17,Rhode_Island
2022-09-01 20:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,9,21,21,21,23,2,45,0.0,1015,21,10,327,16,Rhode_Island
2022-09-01 21:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,8,19,19,19,25,0,49,0.0,1017,19,10,339,15,Rhode_Island
2022-09-01 22:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,8,17,18,17,24,0,52,0.0,1017,18,10,229,14,Rhode_Island
2022-09-01 23:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,7,16,16,16,23,0,54,0.0,1018,16,10,118,12,Rhode_Island
2022-09-02 00:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,7,15,15,15,22,0,57,0.0,1019,15,10,7,10,Rhode_Island
2022-09-02 01:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,6,14,14,14,22,0,58,0.0,1019,14,10,6,10,Rhode_Island
2022-09-02 02:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,6,13,14,13,21,0,59,0.0,1020,14,10,5,10,Rhode_Island
2022-09-02 03:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,6,13,13,13,21,0,60,0.0,1020,13,10,4,10,Rhode_Island
2022-09-02 04:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,6,12,13,12,21,0,65,0.0,1021,13,10,6,10,Rhode_Island
2022-09-02 05:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,7,12,13,12,21,0,69,0.0,1021,13,10,8,10,Rhode_Island
2022-09-02 06:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,8,11,12,11,21,0,73,0.0,1022,12,10,10,10,Rhode_Island
2022-09-02 07:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,8,14,14,14,19,0,66,0.0,1022,14,10,20,11,Rhode_Island
2022-09-02 08:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,8,16,17,16,17,0,59,0.0,1023,17,10,31,12,Rhode_Island
2022-09-02 09:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,9,19,19,19,15,0,52,0.0,1024,19,10,41,13,Rhode_Island
2022-09-02 10:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,9,21,21,21,13,0,47,0.0,1024,21,10,48,11,Rhode_Island
2022-09-02 11:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,9,23,23,22,12,0,42,0.0,1024,22,10,55,10,Rhode_Island
2022-09-02 12:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,8,25,25,24,10,0,37,0.0,1024,24,10,62,9,Rhode_Island
2022-09-02 13:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,9,25,25,25,11,0,36,0.0,1024,25,10,69,9,Rhode_Island
2022-09-02 14:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,9,25,25,25,11,0,35,0.0,1023,25,10,75,10,Rhode_Island
2022-09-02 15:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,9,25,25,26,12,0,35,0.0,1023,26,10,82,10,Rhode_Island
2022-09-02 16:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,9,25,25,24,12,0,39,0.0,1023,24,10,88,10,Rhode_Island
2022-09-02 17:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,10,25,25,23,12,0,43,0.0,1024,23,10,93,10,Rhode_Island
2022-09-02 18:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,11,24,24,22,13,0,48,0.0,1024,22,10,99,10,Rhode_Island
2022-09-02 19:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,11,20,21,20,14,0,56,0.0,1025,20,10,104,10,Rhode_Island
2022-09-02 20:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,11,18,18,18,15,0,64,0.0,1025,18,10,110,9,Rhode_Island
2022-09-02 21:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,11,15,15,15,17,0,73,0.0,1026,15,10,116,8,Rhode_Island
2022-09-02 22:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,11,16,16,16,17,0,74,0.0,1026,16,10,131,8,Rhode_Island
2022-09-02 23:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,11,16,16,16,16,0,75,0.0,1026,16,10,146,8,Rhode_Island
2022-09-03 00:00:00,26,15,0.0,11.6,6,49,02:06 PM,11:12 PM,06:13 AM,07:15 PM,12,16,16,16,16,0,76,0.0,1027,16,10,161,8,Rhode_Island
2022-09-03 01:00:00,26,15,0.0,11.6,6,49,02:06 PM,11:12 PM,06:13 AM,07:15 PM,12,16,16,16,14,1,77,0.0,1027,16,10,161,7,Rhode_Island
2022-09-03 02:00:00,26,15,0.0,11.6,6,49,02:06 PM,11:12 PM,06:13 AM,07:15 PM,12,16,16,16,12,3,79,0.0,1027,16,10,161,6,Rhode_Island
2022-09-03 03:00:00,26,15,0.0,11.6,6,49,02:06 PM,11:12 PM,06:13 AM,07:15 PM,12,16,16,16,10,4,81,0.0,1026,16,10,161,5,Rhode_Island
