date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,10,19,19,19,23,3,54,0.0,1015,19,10,126,11,South_Dakota
2022-09-01 01:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,10,19,19,19,23,3,58,0.0,1014,19,10,132,11,South_Dakota
2022-09-01 02:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,10,18,18,18,22,4,61,0.0,1014,18,10,138,10,South_Dakota
2022-09-01 03:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,11,17,17,17,21,4,65,0.0,1014,17,10,144,10,South_Dakota
2022-09-01 04:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,11,17,17,17,20,4,69,0.0,1013,17,10,142,10,South_Dakota
2022-09-01 05:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,11,16,16,16,20,4,74,0.0,1013,16,10,139,9,South_Dakota
2022-09-01 06:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,12,15,15,15,19,4,78,0.0,1013,15,10,137,9,South_Dakota
2022-09-01 07:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,12,18,18,18,17,4,70,0.0,1012,18,10,139,10,South_Dakota
2022-09-01 08:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,12,20,21,20,15,3,62,0.0,1012,20,10,142,11,South_Dakota
2022-09-01 09:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,12,22,25,22,14,3,54,0.0,1012,22,10,144,12,South_Dakota
