date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,20,20,20,25,7,56,0.0,1016,20,10,206,12,Tennessee
2022-09-01 01:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,20,20,20,25,7,57,0.0,1016,20,10,213,12,Tennessee
2022-09-01 02:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,20,20,20,25,7,58,0.0,1016,20,10,219,12,Tennessee
2022-09-01 03:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,20,20,20,25,7,59,0.0,1016,20,10,226,12,Tennessee
2022-09-01 04:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,19,19,19,26,8,59,0.0,1016,19,10,218,12,Tennessee
2022-09-01 05:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,19,19,19,27,9,59,0.0,1016,19,10,210,13,Tennessee
2022-09-01 06:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,19,19,19,29,10,59,0.0,1016,19,10,202,14,Tennessee
2022-09-01 07:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,21,21,21,25,10,53,0.0,1016,21,10,212,14,Tennessee
2022-09-01 08:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,23,23,23,22,10,48,0.0,1017,23,10,222,15,Tennessee
2022-09-01 09:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,25,25,25,19,11,42,0.0,1017,25,10,233,15,Tennessee
2022-09-01 10:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,27,27,27,19,33,38,0.0,1017,27,10,237,15,Tennessee
2022-09-01 11:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,28,28,29,19,56,34,0.0,1017,29,10,240,16,Tennessee
2022-09-01 12:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,30,30,31,19,78,31,0.0,1016,31,10,244,16,Tennessee
2022-09-01 13:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,29,29,30,19,78,33,0.0,1016,30,10,242,15,Tennessee
2022-09-01 14:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,29,29,29,20,79,35,0.0,1016,29,10,240,13,Tennessee
2022-09-01 15:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,28,28,28,20,79,37,0.0,1015,28,10,238,12,Tennessee
2022-09-01 16:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,29,29,29,18,60,34,0.0,1015,29,10,227,12,Tennessee
2022-09-01 17:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,29,29,30,17,41,32,0.0,1015,30,10,216,12,Tennessee
2022-09-01 18:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,30,30,31,15,22,29,0.0,1014,31,10,205,12,Tennessee
2022-09-01 19:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,28,28,29,19,21,34,0.0,1015,29,10,193,12,Tennessee
2022-09-01 20:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,27,27,27,22,20,39,0.0,1015,27,10,181,12,Tennessee
2022-09-01 21:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,25,25,25,26,20,45,0.0,1015,25,10,169,12,Tennessee
2022-09-01 22:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,13,25,25,24,31,16,49,0.0,1014,24,10,172,15,Tennessee
2022-09-01 23:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,14,25,25,24,36,13,53,0.0,1014,24,10,175,18,Tennessee
2022-09-02 00:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,15,25,25,24,41,10,57,0.0,1014,24,10,177,21,Tennessee
2022-09-02 01:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,14,25,25,23,37,8,58,0.0,1014,23,10,178,19,Tennessee
2022-09-02 02:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,14,25,25,22,34,7,58,0.0,1013,22,10,179,17,Tennessee
2022-09-02 03:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,13,21,25,21,31,5,59,0.0,1013,21,10,180,15,Tennessee
2022-09-02 04:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,13,21,23,21,29,37,61,0.0,1013,21,10,179,14,Tennessee
2022-09-02 05:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,13,20,21,20,27,68,63,0.0,1013,20,10,178,13,Tennessee
2022-09-02 06:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,13,19,19,19,26,99,65,0.0,1014,19,10,176,12,Tennessee
2022-09-02 07:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,14,21,22,21,22,92,64,0.0,1014,21,10,192,13,Tennessee
2022-09-02 08:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,15,24,24,23,19,85,62,0.0,1014,23,10,208,13,Tennessee
2022-09-02 09:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,17,26,26,25,16,78,60,0.0,1015,25,10,224,14,Tennessee
2022-09-02 10:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,17,30,30,28,17,56,53,0.0,1015,28,10,217,15,Tennessee
2022-09-02 11:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,18,33,33,31,18,34,46,0.0,1014,31,10,210,16,Tennessee
