date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,21,72,77,0.4,1014,26,9,314,13,Texas
2022-09-01 01:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,17,53,78,0.2,1014,26,9,215,11,Texas
2022-09-01 02:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,14,34,79,0.0,1013,26,10,116,9,Texas
2022-09-01 03:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,11,15,79,0.0,1013,26,10,17,7,Texas
2022-09-01 04:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,13,18,79,0.0,1013,26,10,123,8,Texas
2022-09-01 05:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,28,28,26,15,20,79,0.0,1013,26,10,230,9,Texas
2022-09-01 06:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,28,28,26,16,23,79,0.0,1014,26,10,336,10,Texas
2022-09-01 07:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,16,24,78,0.0,1014,26,10,344,11,Texas
2022-09-01 08:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,27,16,25,77,0.0,1015,27,10,351,11,Texas
2022-09-01 09:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,30,30,27,15,26,76,0.0,1015,27,10,359,12,Texas
2022-09-01 10:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,31,31,28,14,45,74,0.0,1015,28,10,246,11,Texas
2022-09-01 11:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,33,33,29,12,63,71,0.0,1015,29,10,134,10,Texas
2022-09-01 12:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,24,34,34,30,11,82,69,0.0,1015,30,10,21,9,Texas
2022-09-01 13:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,34,34,30,10,63,67,0.0,1014,30,10,47,9,Texas
2022-09-01 14:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,35,35,30,10,44,65,0.0,1014,30,10,72,8,Texas
2022-09-01 15:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,35,35,30,10,24,64,0.0,1013,30,10,98,8,Texas
2022-09-01 16:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,34,34,30,12,43,64,0.0,1013,30,10,113,9,Texas
2022-09-01 17:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,34,34,30,14,61,64,0.0,1012,30,10,127,11,Texas
2022-09-01 18:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,34,34,30,15,80,63,0.0,1012,30,10,142,12,Texas
2022-09-01 19:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,33,33,30,16,57,66,0.0,1012,30,10,154,12,Texas
2022-09-01 20:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,33,33,29,17,34,69,0.0,1012,29,10,166,12,Texas
2022-09-01 21:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,33,33,29,18,11,72,0.0,1012,29,10,178,12,Texas
2022-09-01 22:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,32,32,28,17,11,74,0.0,1012,28,10,167,11,Texas
