date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,10,11,10,14,0,32,0.0,1016,11,10,353,8,Utah
2022-09-01 01:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,9,10,9,14,0,32,0.0,1016,10,10,345,8,Utah
2022-09-01 02:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,9,10,9,14,0,33,0.0,1016,10,10,337,8,Utah
2022-09-01 03:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,8,9,8,14,0,34,0.0,1016,9,10,330,8,Utah
2022-09-01 04:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,8,9,8,13,0,34,0.0,1017,9,10,327,8,Utah
2022-09-01 05:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,8,9,8,13,0,35,0.0,1017,9,10,324,8,Utah
2022-09-01 06:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,8,9,8,13,0,35,0.0,1018,9,10,320,8,Utah
2022-09-01 07:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-6,10,10,10,12,0,30,0.0,1017,10,10,319,8,Utah
2022-09-01 08:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-7,12,12,12,10,0,26,0.0,1016,12,10,318,8,Utah
2022-09-01 09:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-8,14,14,14,9,0,22,0.0,1016,14,10,316,8,Utah
2022-09-01 10:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-8,15,15,15,8,0,19,0.0,1014,15,10,316,7,Utah
2022-09-01 11:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-9,17,17,17,7,0,16,0.0,1013,17,10,317,6,Utah
2022-09-01 12:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-10,19,19,19,6,0,13,0.0,1012,19,10,317,6,Utah
2022-09-01 13:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-11,20,20,20,5,0,12,0.0,1011,20,10,323,5,Utah
2022-09-01 14:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-11,21,21,21,4,0,11,0.0,1010,21,10,329,4,Utah
2022-09-01 15:00:00,22,9,0.0,12.9,5,35,10:14 AM,09:15 PM,05:33 AM,06:25 PM,-12,22,22,22,3,0,10,0.0,1010,22,10,336,3,Utah
