date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,20,20,20,26,4,61,0.0,1016,20,10,195,12,Vermont
2022-09-01 01:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,20,20,20,23,5,61,0.0,1016,20,10,207,11,Vermont
2022-09-01 02:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,19,19,19,21,6,62,0.0,1016,19,10,218,10,Vermont
2022-09-01 03:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,19,19,19,19,7,62,0.0,1016,19,10,230,9,Vermont
2022-09-01 04:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,19,19,19,21,7,63,0.0,1016,19,10,219,10,Vermont
2022-09-01 05:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,18,18,18,23,7,64,0.0,1016,18,10,209,11,Vermont
2022-09-01 06:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,18,18,18,25,7,64,0.0,1016,18,10,199,12,Vermont
2022-09-01 07:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,20,20,20,23,8,58,0.0,1017,20,10,205,13,Vermont
2022-09-01 08:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,23,23,22,21,10,52,0.0,1017,22,10,211,14,Vermont
2022-09-01 09:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,25,25,24,18,12,46,0.0,1017,24,10,217,14,Vermont
2022-09-01 10:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,28,28,28,19,12,40,0.0,1017,28,10,216,15,Vermont
2022-09-01 11:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,13,31,31,31,19,13,34,0.0,1017,31,10,216,16,Vermont
2022-09-01 12:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,13,34,34,34,19,13,29,0.0,1017,34,10,216,17,Vermont
2022-09-01 13:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,13,33,33,34,19,14,28,0.0,1016,34,10,224,16,Vermont
2022-09-01 14:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,33,33,33,18,15,27,0.0,1015,33,10,232,16,Vermont
2022-09-01 15:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,32,32,33,17,17,26,0.0,1015,33,10,241,15,Vermont
2022-09-01 16:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,31,31,32,15,27,29,0.0,1015,32,10,249,13,Vermont
2022-09-01 17:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,30,30,31,14,37,32,0.0,1015,31,10,258,11,Vermont
2022-09-01 18:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,13,29,29,30,12,47,34,0.0,1015,30,10,266,8,Vermont
2022-09-01 19:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,13,28,28,28,16,47,40,0.0,1015,28,10,231,9,Vermont
2022-09-01 20:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,14,27,27,27,20,46,45,0.0,1015,27,10,196,10,Vermont
2022-09-01 21:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,14,26,26,25,24,45,51,0.0,1015,25,10,160,12,Vermont
2022-09-01 22:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,14,25,25,24,27,33,55,0.0,1015,24,10,166,13,Vermont
2022-09-01 23:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,15,25,25,23,30,21,58,0.0,1015,23,10,171,14,Vermont
2022-09-02 00:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,15,25,25,23,33,9,62,0.0,1014,23,10,177,16,Vermont
2022-09-02 01:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,15,24,24,22,31,9,63,0.0,1014,22,10,179,15,Vermont
2022-09-02 02:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,22,22,22,29,8,64,0.0,1014,22,10,181,14,Vermont
2022-09-02 03:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,21,21,21,26,8,65,0.0,1014,21,10,183,13,Vermont
2022-09-02 04:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,20,20,20,26,38,67,0.0,1014,20,10,182,12,Vermont
2022-09-02 05:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,13,19,19,19,26,67,68,0.0,1014,19,10,182,12,Vermont
2022-09-02 06:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,13,19,19,19,26,97,70,0.0,1014,19,10,182,12,Vermont
2022-09-02 07:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,21,21,21,21,66,64,0.0,1014,21,10,190,12,Vermont
2022-09-02 08:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,24,24,23,17,35,58,0.0,1015,23,10,199,12,Vermont
2022-09-02 09:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,26,26,25,13,3,51,0.0,1015,25,10,208,11,Vermont
2022-09-02 10:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,15,28,28,27,15,14,47,0.0,1015,27,10,202,13,Vermont
