date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,21,21,21,21,0,50,0.0,1014,21,10,322,10,Washington
2022-09-01 01:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,20,20,20,18,0,52,0.0,1014,20,10,315,9,Washington
2022-09-01 02:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,20,20,20,16,0,53,0.0,1014,20,10,307,8,Washington
2022-09-01 03:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,19,19,19,14,0,55,0.0,1014,19,10,300,6,Washington
2022-09-01 04:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,19,19,19,14,2,57,0.0,1014,19,10,297,7,Washington
2022-09-01 05:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,18,18,18,15,3,58,0.0,1014,18,10,294,7,Washington
2022-09-01 06:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,18,18,18,15,5,60,0.0,1015,18,10,291,7,Washington
2022-09-01 07:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,11,20,20,20,15,5,57,0.0,1015,20,10,296,9,Washington
2022-09-01 08:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,21,23,21,15,6,54,0.0,1016,21,10,302,11,Washington
2022-09-01 09:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,25,25,23,15,6,51,0.0,1016,23,10,307,13,Washington
2022-09-01 10:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,14,27,27,26,15,4,47,0.0,1016,26,10,309,13,Washington
2022-09-01 11:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,15,30,30,29,15,2,44,0.0,1016,29,10,311,13,Washington
2022-09-01 12:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,16,32,32,31,15,0,40,0.0,1016,31,10,313,13,Washington
2022-09-01 13:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,15,32,32,32,15,2,36,0.0,1016,32,10,316,13,Washington
2022-09-01 14:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,13,33,33,33,15,4,31,0.0,1016,33,10,318,13,Washington
2022-09-01 15:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,33,33,34,15,6,26,0.0,1015,34,10,320,13,Washington
2022-09-01 16:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,32,32,33,13,6,27,0.0,1015,33,10,324,11,Washington
2022-09-01 17:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,32,32,32,10,6,29,0.0,1015,32,10,329,9,Washington
2022-09-01 18:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,31,31,32,8,6,31,0.0,1015,32,10,333,6,Washington
2022-09-01 19:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,29,29,29,10,5,35,0.0,1016,29,10,237,7,Washington
2022-09-01 20:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,11,27,27,26,13,5,39,0.0,1017,26,10,141,7,Washington
2022-09-01 21:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,25,25,23,15,5,44,0.0,1017,23,10,45,7,Washington
2022-09-01 22:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,11,25,25,23,13,7,48,0.0,1018,23,10,51,6,Washington
2022-09-01 23:00:00,34,18,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,11,22,24,22,12,9,52,0.0,1018,22,10,57,6,Washington
2022-09-02 00:00:00,34,18,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,12,21,24,21,10,11,56,0.0,1019,21,10,63,5,Washington
2022-09-02 01:00:00,34,18,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,12,21,23,21,11,14,59,0.0,1019,21,10,71,5,Washington
