date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,7,15,15,15,21,5,60,0.0,1017,15,10,65,10,Wisconsin
2022-09-01 01:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,7,15,15,15,19,4,59,0.0,1017,15,10,82,9,Wisconsin
2022-09-01 02:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,6,14,14,14,17,3,58,0.0,1017,14,10,98,8,Wisconsin
2022-09-01 03:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,5,13,13,13,14,3,58,0.0,1017,13,10,114,7,Wisconsin
2022-09-01 04:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,5,13,13,13,15,3,57,0.0,1017,13,10,110,7,Wisconsin
2022-09-01 05:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,5,13,13,13,16,3,57,0.0,1017,13,10,106,8,Wisconsin
2022-09-01 06:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,5,12,13,12,17,3,57,0.0,1017,13,10,101,8,Wisconsin
2022-09-01 07:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,6,14,14,14,15,3,56,0.0,1017,14,10,119,9,Wisconsin
2022-09-01 08:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,7,16,16,16,14,3,54,0.0,1018,16,10,138,9,Wisconsin
2022-09-01 09:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,8,18,18,18,13,3,53,0.0,1018,18,10,156,10,Wisconsin
2022-09-01 10:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,10,21,21,21,13,3,49,0.0,1017,21,10,153,11,Wisconsin
2022-09-01 11:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,11,24,24,24,14,2,45,0.0,1017,24,10,150,12,Wisconsin
2022-09-01 12:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,13,27,27,27,15,1,41,0.0,1016,27,10,148,13,Wisconsin
2022-09-01 13:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,14,28,28,28,15,2,40,0.0,1016,28,10,154,13,Wisconsin
2022-09-01 14:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,14,29,29,29,15,3,39,0.0,1015,29,10,160,13,Wisconsin
2022-09-01 15:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,15,31,31,31,15,3,38,0.0,1015,31,10,166,13,Wisconsin
2022-09-01 16:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,15,30,30,29,16,4,44,0.0,1014,29,10,160,13,Wisconsin
2022-09-01 17:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,16,29,29,28,17,4,50,0.0,1014,28,10,154,13,Wisconsin
2022-09-01 18:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,17,28,28,27,18,5,56,0.0,1014,27,10,149,14,Wisconsin
2022-09-01 19:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,17,25,25,25,22,5,64,0.0,1014,25,10,150,14,Wisconsin
2022-09-01 20:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,17,23,23,23,27,4,71,0.0,1014,23,10,151,14,Wisconsin
