date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,13,16,16,16,21,0,83,0.0,1015,16,10,5,10,Wyoming
2022-09-01 01:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,11,14,15,14,22,0,81,0.0,1016,15,10,23,10,Wyoming
2022-09-01 02:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,10,13,13,13,23,0,79,0.0,1016,13,10,40,11,Wyoming
2022-09-01 03:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,8,11,12,11,25,0,76,0.0,1017,12,10,58,12,Wyoming
2022-09-01 04:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,7,10,12,10,24,1,74,0.0,1017,12,10,67,11,Wyoming
2022-09-01 05:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,6,10,11,10,22,1,73,0.0,1018,11,10,75,11,Wyoming
2022-09-01 06:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,6,9,11,9,21,2,71,0.0,1018,11,10,83,10,Wyoming
2022-09-01 07:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,11,12,11,19,2,66,0.0,1019,12,10,89,10,Wyoming
2022-09-01 08:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,12,13,12,18,3,60,0.0,1019,13,10,95,10,Wyoming
2022-09-01 09:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,14,14,14,16,4,55,0.0,1020,14,10,100,10,Wyoming
2022-09-01 10:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,17,17,17,14,4,48,0.0,1019,17,10,107,10,Wyoming
2022-09-01 11:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,19,21,19,12,5,40,0.0,1019,20,10,113,9,Wyoming
2022-09-01 12:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,24,24,22,10,6,33,0.0,1019,22,10,120,9,Wyoming
2022-09-01 13:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,6,25,25,25,9,5,31,0.0,1019,25,10,130,8,Wyoming
2022-09-01 14:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,7,26,26,27,9,5,28,0.0,1018,27,10,141,7,Wyoming
2022-09-01 15:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,8,27,27,29,8,4,26,0.0,1018,29,10,152,6,Wyoming
2022-09-01 16:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,8,27,27,28,8,4,28,0.0,1017,28,10,160,7,Wyoming
2022-09-01 17:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,9,27,27,28,8,4,31,0.0,1017,28,10,169,7,Wyoming
2022-09-01 18:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,10,27,27,27,8,4,33,0.0,1017,27,10,177,7,Wyoming
2022-09-01 19:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,9,24,24,24,12,4,39,0.0,1017,24,10,168,8,Wyoming
2022-09-01 20:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,9,22,21,22,16,3,45,0.0,1017,22,10,160,9,Wyoming
2022-09-01 21:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,8,19,19,19,21,2,51,0.0,1017,19,10,152,10,Wyoming
2022-09-01 22:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,10,19,19,19,22,6,58,0.0,1017,19,10,150,10,Wyoming
2022-09-01 23:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,12,19,19,19,23,9,66,0.0,1016,19,10,149,11,Wyoming
2022-09-02 00:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,19,19,19,24,12,74,0.0,1016,19,10,148,12,Wyoming
2022-09-02 01:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,19,19,19,26,10,74,0.0,1016,19,10,150,12,Wyoming
2022-09-02 02:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,19,19,19,28,8,75,0.0,1016,19,10,153,13,Wyoming
2022-09-02 03:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,19,19,19,30,5,76,0.0,1016,19,10,155,14,Wyoming
2022-09-02 04:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,18,18,18,29,11,78,0.0,1016,18,10,154,14,Wyoming
2022-09-02 05:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,18,18,18,29,17,80,0.0,1016,18,10,153,14,Wyoming
2022-09-02 06:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,18,18,18,28,22,82,0.0,1016,18,10,152,13,Wyoming
2022-09-02 07:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,19,20,19,26,19,78,0.0,1016,19,10,162,14,Wyoming
2022-09-02 08:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,20,22,20,24,17,73,0.0,1016,20,10,172,15,Wyoming
2022-09-02 09:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,22,25,22,22,14,68,0.0,1016,22,10,181,15,Wyoming
2022-09-02 10:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,16,28,28,25,23,13,58,0.0,1016,25,10,192,17,Wyoming
2022-09-02 11:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,16,31,31,29,23,12,47,0.0,1016,29,10,202,19,Wyoming
2022-09-02 12:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,16,34,34,33,24,11,37,0.0,1016,33,10,213,21,Wyoming
2022-09-02 13:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,33,33,33,25,14,34,0.0,1016,33,10,220,21,Wyoming
2022-09-02 14:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,33,33,33,26,16,31,0.0,1015,33,10,227,22,Wyoming
2022-09-02 15:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,13,33,33,33,27,19,28,0.0,1015,33,10,235,23,Wyoming
2022-09-02 16:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,13,32,32,33,26,19,30,0.0,1015,33,10,235,22,Wyoming
2022-09-02 17:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,13,32,32,33,25,20,31,0.0,1014,33,10,235,22,Wyoming
2022-09-02 18:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,13,32,32,32,24,21,32,0.0,1014,32,10,236,21,Wyoming
2022-09-02 19:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,29,29,29,23,41,43,0.0,1014,29,10,216,18,Wyoming
2022-09-02 20:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,27,27,26,22,60,55,0.1,1015,26,9,196,14,Wyoming
2022-09-02 21:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,16,25,25,22,21,80,67,0.1,1015,22,9,177,10,Wyoming
