,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,pc1,pc2
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1.2375584221450842,-0.44059452340159755
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,1.080002144082999,-0.17907780819503707
2,One dime,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.11599999999999999,32.261086,0.03212994121618083,-0.11753193951705168
3,One quarter,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.51099998,46.116505,0.22934000595892504,-0.11395439917101574
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.6022580825407933,-0.7853475791437259
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1.1125566635613302,0.020919721732765243
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.5023805001766148,-0.3322020074325358
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,-0.24863645917839905,0.857113950553436
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963000000004,-0.29464878179190007,0.5863088338748164
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.20775058002029817,-0.6714298488205807
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1.1264579333405564,-0.048214374103851265
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.806128312107849,-0.061763148801122464
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.8942957174965733,-0.020726225988378005
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.8658590120159939,0.11282612779305384
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.5238088320205796,-0.8530309170669124
